Plate,Row,Col,Well,True_OD
Plate 0002,A,1,A1,5.2502
Plate 0002,B,1,B1,3.6738
Plate 0002,C,1,C1,1.8589
Plate 0002,D,1,D1,0.8841
Plate 0002,E,1,E1,0.4394
Plate 0002,F,1,F1,0.2484
Plate 0002,G,1,G1,0.1664
Plate 0002,H,1,H1,0.1054
Plate 0002,A,2,A2,0.4518
Plate 0002,B,2,B2,0.0992
Plate 0002,C,2,C2,0.0758
Plate 0002,D,2,D2,0.0652
Plate 0002,E,2,E2,0.0633
Plate 0002,F,2,F2,0.0616
Plate 0002,G,2,G2,0.0712
Plate 0002,H,2,H2,0.0599
Plate 0002,A,3,A3,0.7693
Plate 0002,B,3,B3,0.3614
Plate 0002,C,3,C3,0.2593
Plate 0002,D,3,D3,0.2406
Plate 0002,E,3,E3,0.494
Plate 0002,F,3,F3,0.6167
Plate 0002,G,3,G3,0.2061
Plate 0002,H,3,H3,0.5032
Plate 0002,A,4,A4,0.0597
Plate 0002,B,4,B4,0.0613
Plate 0002,C,4,C4,0.0566
Plate 0002,D,4,D4,0.0553
Plate 0002,E,4,E4,0.0818
Plate 0002,F,4,F4,0.0643
Plate 0002,G,4,G4,0.0776
Plate 0002,H,4,H4,0.0871
Plate 0002,A,5,A5,0.1759
Plate 0002,B,5,B5,0.1156
Plate 0002,C,5,C5,0.0958
Plate 0002,D,5,D5,0.0848
Plate 0002,E,5,E5,0.0776
Plate 0002,F,5,F5,0.0659
Plate 0002,G,5,G5,0.0678
Plate 0002,H,5,H5,0.0687
Plate 0002,A,6,A6,0.055
Plate 0002,B,6,B6,0.0536
Plate 0002,C,6,C6,0.0529
Plate 0002,D,6,D6,0.0521
Plate 0002,E,6,E6,0.056
Plate 0002,F,6,F6,0.0615
Plate 0002,G,6,G6,0.0539
Plate 0002,H,6,H6,0.0583
Plate 0002,A,7,A7,0.1201
Plate 0002,B,7,B7,0.173
Plate 0002,C,7,C7,0.1251
Plate 0002,D,7,D7,0.1807
Plate 0002,E,7,E7,0.1368
Plate 0002,F,7,F7,0.2146
Plate 0002,G,7,G7,0.1606
Plate 0002,H,7,H7,0.1748
Plate 0002,A,8,A8,0.1804
Plate 0002,B,8,B8,0.1843
Plate 0002,C,8,C8,0.1674
Plate 0002,D,8,D8,0.1867
Plate 0002,E,8,E8,0.1136
Plate 0002,F,8,F8,0.2375
Plate 0002,G,8,G8,0.1581
Plate 0002,H,8,H8,0.1786
Plate 0002,A,9,A9,0.1251
Plate 0002,B,9,B9,0.1834
Plate 0002,C,9,C9,0.1218
Plate 0002,D,9,D9,0.1883
Plate 0002,E,9,E9,0.1034
Plate 0002,F,9,F9,0.1298
Plate 0002,G,9,G9,0.097
