Row,Col,A_Diff_Linear,A_Blue_Linear,A_Green_Diff_Linear,A_Diff,A_Blue,A_Green_Diff,A_Plast_Diff,A_Plast_Green_Diff,T_Plast_Blue,T_Plast_Green,T_Plast_Red,A_Core_Blue,Meniscus_Depth_Ratio,Delta_BStar,B_Star_Norm,Chroma,Hue_Angle,Chroma_L_Ratio,SSAI,AAR,NDYI,RB_Ratio,GB_Ratio,RG_Ratio,Rel_Sat,Blue_Med,Green_Med,Red_Med,L_Med,A_Med,B_Star_Med,S_Med,V_Med,Plate,Photo,True_OD
A,1,2.2335546227248044,2.591807196761215,0.265070766424086,1.0152521012385474,1.1780941803460068,0.12048671201094821,0.5803994142191451,0.07434366613121868,0.2777428854354332,0.8906328121620696,1.0569205868642888,0.997015022655475,0.7272727272727273,13.911214255681443,1.7708333333333333,215.84485168750263,0.9069087934085058,2.248383871744819,2.069023341834024,0.12249373820453761,0.8156681651765822,11.3,8.4,1.3452380952380953,12.481490279267174,10.0,84.0,113.0,96.0,133.0,170.0,232.0,113.0,Plate 0002,Plate C 0002.jpg,5.2502
A,2,0.9592495741685079,1.117161469818606,0.043717535318338246,0.4360225337129581,0.5078006680993664,0.01987160696288101,0.22458155186217937,-0.00722824830993056,0.6669455667199864,1.1373658658682808,1.1185925999952975,0.4786190059375338,0.6326530612244898,27.04752735937518,1.2627737226277371,210.54453210663058,0.9643504919108967,1.5368214022381794,0.9468316305932144,0.06146136216088079,0.4806629701474318,2.9361702127659575,2.765957446808511,1.0615384615384615,11.758302807562254,47.0,130.0,138.0,137.0,120.0,173.0,168.0,138.0,Plate 0002,Plate C 0002.jpg,0.4518
A,3,1.5347381009074674,1.6191951315159772,0.050443865706369745,0.6976082276852125,0.7359977870527169,0.02292902986653162,0.5818069607852071,0.007021136592705396,0.28460388083925214,1.0691204628890578,1.086545152497797,0.7720289942988071,0.5806451612903226,44.391811507141966,1.2620689655172415,218.8355546980426,0.9903981394010224,1.5092107220554662,1.5118588987310961,0.044045836638914974,0.6734693681204267,5.285714285714286,4.964285714285714,1.064748201438849,19.090206168561256,28.0,139.0,148.0,145.0,120.0,183.0,207.0,148.0,Plate 0002,Plate C 0002.jpg,0.7693
A,4,0.0297592054620996,0.08491314515041766,0.012254336663416347,0.013526911573681681,0.03859688415928079,0.005570153028825662,-0.05166883280285274,-0.0033757532053688873,1.1767829332374362,1.052939169088652,1.0447864425418936,-0.00014351412556962829,0.8040540540540541,-2.0224383199381464,0.8354430379746836,183.86951895297926,0.8007815651780434,1.163731132613793,0.02965020239341938,0.24509538781476292,0.03259005089896997,1.0780141843971631,1.0567375886524824,1.0201342281879195,2.062164283975131,141.0,149.0,152.0,158.0,128.0,132.0,17.0,152.0,Plate 0002,Plate C 0002.jpg,0.0597
A,5,0.2764866157025661,0.31811745579763917,0.01991272924363978,0.12567573441025723,0.14459884354438135,0.009051240565290823,0.08853310107684491,0.004497232744483038,0.8305163781098777,1.0078225458405388,1.0183130335493689,0.1573889546231457,0.7398373983739838,15.838138934346802,0.9426751592356688,192.43960091415696,0.8773887218021472,1.2257299421283883,0.27484474301704526,0.10844548696065376,0.15151514864554644,1.375,1.3392857142857142,1.0266666666666666,10.49520653496076,112.0,150.0,154.0,157.0,123.0,148.0,68.0,154.0,Plate 0002,Plate C 0002.jpg,0.1759
A,6,0.005655147142058774,0.06781344258150489,0.00153051726969098,0.002570521428208593,0.03082429208250226,0.0006956896680413924,-0.020301163177545826,-0.001230281282620824,1.0308352742819447,0.9865483837488284,0.9837576172596917,0.02150702212759922,0.8544303797468354,-3.993229819501778,0.8164556962025317,181.72781845386248,0.7892891943440928,1.1501760661636866,0.0056525517436403355,0.20345412937643487,0.008375209239946245,1.0202702702702702,1.0135135135135136,1.0066666666666666,0.9026432636863068,148.0,150.0,151.0,158.0,128.0,129.0,5.0,151.0,Plate 0002,Plate C 0002.jpg,0.055
A,7,0.12016820034103576,0.17417822256958493,0.007045617560814302,0.05462190924592533,0.0791719193498113,0.003202553436733792,0.03608022386219474,0.002489059026850266,0.9243475702231139,0.9986802672003432,1.0044204070998675,0.14115834915782516,0.7746478873239436,0.5363456951727983,0.8616352201257862,186.1316738225926,0.8271988952702993,1.1706394580037272,0.11991473832519245,0.126193008060097,0.05923344844541031,1.1333333333333333,1.1185185185185185,1.0132450331125828,5.726982157869396,135.0,151.0,153.0,159.0,126.0,137.0,31.0,153.0,Plate 0002,Plate C 0002.jpg,0.1201
A,8,0.2952433563970716,0.30772893652395583,0.01064609956490368,0.1342015256350326,0.13987678932907086,0.004839136165865334,0.1114794584147076,0.003969805271999319,0.8426752715071822,1.079368905612739,1.0892804472615563,0.19225448741263226,0.832,5.443242288091568,0.896969696969697,191.80198122021577,0.8813984537669336,1.1624362498194896,0.2943034014029838,0.08055924680703694,0.14132378995842954,1.3416666666666666,1.3166666666666667,1.018987341772152,10.513375364383485,120.0,158.0,161.0,165.0,122.0,148.0,64.0,161.0,Plate 0002,Plate C 0002.jpg,0.1804
A,9,0.19341499214661062,0.2767955779294392,0.009001162883716426,0.08791590552118668,0.1258161717861087,0.004091437674416672,0.0521517232160225,0.0014381310076923975,0.9571970534058782,1.0757588936863551,1.079327086778587,0.18388136012596074,0.835820895522388,-12.242773510024875,0.8910256410256411,186.93849255838134,0.8383788393015514,1.1983236702460343,0.19289411075354992,0.10217413010605902,0.0813743204091443,1.188976377952756,1.1653543307086613,1.0202702702702702,5.162282302659788,127.0,148.0,151.0,156.0,125.0,139.0,39.0,151.0,Plate 0002,Plate C 0002.jpg,0.1251
A,10,0.30228315130722927,0.48369574505154495,0.01411161383673068,0.1374014324123769,0.21986170229615676,0.006414369925786673,0.07723344904016635,-0.0003170310449399291,0.8972901018395892,1.0727125388519163,1.0719297541455595,0.33494715600681807,0.7685185185185185,-18.436910971467825,1.0140845070422535,190.68560512005095,0.8559130259709072,1.3428563740848658,0.3010088351742025,0.08758935144992303,0.1286307027255041,1.3142857142857143,1.276190476190476,1.0298507462686568,6.2271632118508675,105.0,134.0,138.0,142.0,125.0,144.0,61.0,138.0,Plate 0002,Plate C 0002.jpg,0.1421
